Cluster_ID,Keywords,Examples,Stage1_FewShot,Stage2_Critic,Fixed_Label,Label_Source,Root,Parent,Leaf,Coherence_Score,Total_Attempts,Quality
104,"adv, crit, eva, hp, svc",HP 4y Crit Adv L1 wDMR 146 to 400GB Svc || HP 5y Crit Adv L2 EVA 146/300/400GB Svc || HP 4y Crit Adv L1 wDMR 200/400GB SSD Svc,Software > Support & Services > Maintenance Services,Software > Maintenance Services > Products,Software > Maintenance Services > Products,Stage2,Software,Maintenance Services,Products,0.1194,2,Low (<0.30)
105,"calculator, canon, desktop, grey, pocket","Canon F-604 calculator Pocket Scientific Black || Canon HS-1200TCG calculator Pocket Basic Gold || Canon MP120-MG calculator Desktop Printing Black,White",Office Supplies > Calculators > Pocket Calculators,Office Supplies > Calculators > Pocket Calculators,Office Supplies > Calculators > Pocket Calculators,Stage2,Office Supplies,Calculators,Pocket Calculators,0.5101,2,Good (0.45-0.60)
106,"black, case, cm, folio, tablet",Speck SPK-A0116 e-book reader case Red || Targus Slim Folio Protective Case e-book reader case Cover Red || Speck FitFolio f/ Nook e-book reader case Flip case Purple,Electronics > Tablets & Tablet Accessories > Cases,Electronics > Cases & Covers > Tablet Case,Electronics > Cases & Covers > Tablet Case,Stage2,Electronics,Cases & Covers,Tablet Case,0.5526,2,Good (0.45-0.60)
107,"hp, software, virtualization, vmware, vsphere","HP VMware vSphere Enterprise Plus, 1CPU, IC, 1Y, 24x7 || HP VMware vCenter Lab Manager, 1PU, 1Y, 9x5 || HP VMware ThinApp Suite, No Media Software",Software > Virtualization Software > VMware Products,Software > Virtualization Software > VMware Products,Software > Virtualization Software > VMware Products,Stage2,Software,Virtualization Software,VMware Products,0.6042,2,Excellent (≥0.60)
108,"black, channels, philips, soundbar, speaker",Philips HD AV Receiver System HTR9900/12 || Samsung SWA-5000 AV receiver 2.0 channels Black || Philips DVD micro music system BTD7170/12,Electronics > Audio Equipment > Speakers,Electronics > Speakers > Soundbar,Electronics > Audio Equipment > Speakers,Stage1_kept,Electronics,Audio Equipment,Speakers,0.4166,2,Acceptable (0.30-0.45)
109,"drive, gb, internal, lenovo, serial","Lenovo 2m mSAS-mSAS 78.7"" (2 m) || Lenovo ThinkPad Serial Hard Drive Bay Adapter III Silver || Lenovo 4XB0M33236 internal hard drive 2.5"" 600 GB SAS",Electronics > Storage Devices > Internal Hard Drives,Electronics > Storage Devices > Internal Hard Drives,Electronics > Storage Devices > Internal Hard Drives,Stage2,Electronics,Storage Devices,Internal Hard Drives,0.4398,2,Acceptable (0.30-0.45)
110,"black, cable, kvm, ps, switch",C2G 10ft DVI Dual Link/USB 2.0 KVM Cable DVI cable 3 m DVI-D Black || Vertiv CBL0094 KVM cable 1.8 m || C2G 6ft PS/2 Avocent® Autoview DS1800 KVM cable 1.8 m,Electronics > Computer Accessories > KVM Cables,Electronics > Computer Accessories > KVM Cables,Electronics > Computer Accessories > KVM Cables,Stage2,Electronics,Computer Accessories,KVM Cables,0.5798,2,Good (0.45-0.60)
111,"black, keyboard, logitech, rf, wireless","Logitech N305 || Logitech UltraX Media Layout Danish keyboard RF Wireless QWERTY || Logitech Cordless Desktop MX3200, FR keyboard RF Wireless",Electronics > Computer Accessories > Input Devices,Electronics > Computer Accessories > Keyboard,Electronics > Computer Accessories > Keyboard,Stage2,Electronics,Computer Accessories,Keyboard,0.4758,2,Good (0.45-0.60)
112,"antivirus, eset, license, user, year",ESET Endpoint Antivirus macOS Years 1 User 11 - 25 Education (EDU) license 1 year(s) || ESET Gateway Security for Linux/BSD/Solaris User 3 Education (EDU) license 3 license(s) 1 year(s) || ESET Antivirus for Home 2 User Government (GOV) license 2 license(s) 1 year(s),Software > Security Software > Antivirus Licenses,Software > Security Software > Antivirus Licenses,Software > Security Software > Antivirus Licenses,Stage2,Software,Security Software,Antivirus Licenses,0.5682,2,Good (0.45-0.60)
113,"binaural, black, ear, headset, mobile",Sandberg Headset converter Dual->Single audio cable || StarTech.com 2m 3.5mm 4 Position TRRS Headset Extension Cable - M/F || Philips Headset connector SHH1211UG/00,Electronics > Audio Accessories > Headsets,Electronics > Headsets > Binaural Black Ear Headset,Electronics > Headsets > Binaural Black Ear Headset,Stage2,Electronics,Headsets,Binaural Black Ear Headset,0.5199,2,Good (0.45-0.60)
114,"cartridge, cleaning, data, mm, sony",Sony Data Cart 40-80GB 557m DLT IV 1pk || Verbatim Cleaning Cartridge 4mm || Sony SDX5-400W,Office Supplies > Data Storage > Tape Cartridges,Office Supplies > Data Storage > Tape Cartridges,Office Supplies > Data Storage > Tape Cartridges,Stage2,Office Supplies,Data Storage,Tape Cartridges,0.5008,2,Good (0.45-0.60)
115,"black, notebook, power, targus, tip",Targus PT-3H notebook power tip Black || Targus PT-3P notebook power tip Black 10 pc(s) || Targus PT-3L notebook power tip Black 10 pc(s),Electronics > Batteries & Chargers > Notebook Accessories,Electronics > Notebook Accessories > Power Tips,Electronics > Notebook Accessories > Power Tips,Stage2,Electronics,Notebook Accessories,Power Tips,0.5853,2,Good (0.45-0.60)
116,"black, camera, canon, lens, sony",Canon Wide Converter WC-DC52A || Canon Wide Converter f MVXxx || Canon Wide Converter WC-DC58A Black,Electronics > Cameras & Camcorders > Lenses,Electronics > Cameras & Camcorders > Lenses,Electronics > Cameras & Camcorders > Lenses,Stage2,Electronics,Cameras & Camcorders,Lenses,0.2632,2,Low (<0.30)
117,"brother, label, making, tape, tz",Brother LCA9 laminator pouch || Canon Cassette Feeding Module P1 for iR2018 / iR2018i / iR2022 / iR2022i Copiers 250 sheets || Brother PG100 tray/feeder,Office Supplies > Laminating & Labeling Equipment > Label Making Tape,Office Supplies > Laminating & Labeling Equipment > Label Making Tape,Office Supplies > Laminating & Labeling Equipment > Label Making Tape,Stage2,Office Supplies,Laminating & Labeling Equipment,Label Making Tape,0.4544,2,Good (0.45-0.60)
118,"12, cm, hd, philips, tv",Philips 4MX656 492 5x2.5 WH || LG ST600 computer TV tuner DVB-T USB || Philips Remote Control 22AV1106B/10,Electronics > Televisions & Monitors > TVs,Electronics > TVs & Monitors > HD TV,Electronics > TVs & Monitors > HD TV,Stage2,Electronics,TVs & Monitors,HD TV,0.4712,2,Good (0.45-0.60)
119,"5g, 6g, 900, 950, humanscale",Humanscale 5G+950+11D+F || Humanscale 5G+900+91H+G || Humanscale 5G+950+90+G,Office Supplies > Ergonomic Furniture > Seating,Office Supplies > Ergonomic Furniture > Seating,Office Supplies > Ergonomic Furniture > Seating,Stage2,Office Supplies,Ergonomic Furniture,Seating,0.1284,2,Low (<0.30)
120,"accessory, flat, mount, nec, panel",NEC Stand for VT46/460/560/660 || NEC 100013002 flat panel accessory || Samsung MID-UD55MB flat panel accessory,Electronics > Monitors & Displays > Flat Panel Monitor Accessories,Electronics > Flat Panel Monitor Accessories > Mount,Electronics > Flat Panel Monitor Accessories > Mount,Stage2,Electronics,Flat Panel Monitor Accessories,Mount,0.4506,2,Good (0.45-0.60)
121,"avocent, black, kvm, switch, vertiv",Vertiv Avocent SC 620 KVM switch Rack mounting Black || Vertiv Avocent SC180 KVM switch || Vertiv Avocent SC920-202 KVM switch Black,Electronics > Networking Equipment > KVM Switches,Electronics > Networking Equipment > KVM Switches,Electronics > Networking Equipment > KVM Switches,Stage2,Electronics,Networking Equipment,KVM Switches,0.5011,2,Good (0.45-0.60)
122,"black, c2g, cable, coaxial, rapidrun","C2G 87114 cable interface/gender adapter VGA + 3.5mm DIN 15 (p) Black || C2G RapidRun VGA (HD15), 3.5mm White || C2G 60044 cable interface/gender adapter RapidRun 15-pin VGA, 3.5mm, Composite, RCA Stereo Aluminium,Orange",Electronics > Connectivity Cables & Adapters > Video Cables,Electronics > Connectivity Cables & Adapters > Video Cables,Electronics > Connectivity Cables & Adapters > Video Cables,Stage2,Electronics,Connectivity Cables & Adapters,Video Cables,0.5422,2,Good (0.45-0.60)
123,"black, channels, cinema, home, sony",Sony STR-DA3500ES AV receiver 7.1 channels Black || Sony STR-DH520 AV receiver 115 W 7.1 channels Surround 3D Black || Sony ZRX-HR70 Surround Black,Electronics > Home Entertainment Systems > Audio Receivers,Electronics > Audio Equipment > Audio Receivers,Electronics > Home Entertainment Systems > Audio Receivers,Stage1_kept,Electronics,Home Entertainment Systems,Audio Receivers,0.459,2,Good (0.45-0.60)
124,"ethernet, gateway, router, wired, zyxel",Zyxel HLA3105 bridge/repeater || LevelOne PLI-2030 bridge/repeater 200 Mbit/s || LevelOne H.323 2FXS VoIP Gateway gateway/controller,Electronics > Networking Equipment > Routers & Gateways,Electronics > Networking Equipment > Gateways & Routers,Electronics > Networking Equipment > Gateways & Routers,Stage2,Electronics,Networking Equipment,Gateways & Routers,0.3927,2,Acceptable (0.30-0.45)
125,"1u, equip, panel, patch, port","Equip 8-Outlet French Power Distribution Unit || Equip 3-Outlet French Power Distribution Unit, 10"" || ACT Surface mounted box shielded 2 ports German Style",Electronics > Power Strips & Surge Protectors > Power Distribution Units,Electronics > Power Distribution Units > 1u Power Distribution Panel,Electronics > Power Strips & Surge Protectors > Power Distribution Units,Stage1_kept,Electronics,Power Strips & Surge Protectors,Power Distribution Units,0.5144,2,Good (0.45-0.60)
126,"adapter, black, indoor, inverter, power",2-Power ALT29097A power adapter/inverter Indoor 65 W Black || 2-Power ALT27986A power adapter/inverter Indoor 65 W Black || 2-Power ALT30645A power adapter/inverter Indoor 65 W Black,Electronics > Power Supply > Adapters,Electronics > Power Supplies > Adapters,Electronics > Power Supplies > Adapters,Stage2,Electronics,Power Supplies,Adapters,0.4852,2,Good (0.45-0.60)
127,"16, electrol, projecta, projection, screen",Projecta RF EU remote control RF Wireless Projection screen || Projecta All-in-One Control Box || Projecta RF CH remote control RF Wireless Projection screen,Electronics > Projectors > Projection Screens,Electronics > Projectors & Displays > Projection Screens,Electronics > Projectors & Displays > Projection Screens,Stage2,Electronics,Projectors & Displays,Projection Screens,0.5774,2,Good (0.45-0.60)
128,"64, gb, ghz, intel, ssd",NEC OPS-Sky-i5-s4/64/W10IoT A 2.7 GHz 6th gen Intel® Core™ i5 4 GB 64 GB SSD || NEC OPS-Sky-i7v-s4/64/W10pro-EN B 2.8 GHz 6th gen Intel® Core™ i7 4 GB 64 GB SSD || NEC OPS-Sky-i3-s4/64/W7e A 2.7 GHz 6th gen Intel® Core™ i3 4 GB 64 GB SSD,Electronics > Computers & Components > Storage,Electronics > Computers & Components > Storage,Electronics > Computers & Components > Storage,Stage2,Electronics,Computers & Components,Storage,0.3035,2,Acceptable (0.30-0.45)
129,"eb, epson, lens, nec, projection","NEC NP14ZL projection lens NEC PA522U, PA572W, PA621U, PA622U, PA671W, PA672W, PA722X || Epson Lens (Long Throw) - ELPLL06 || NEC NP07ZL projection lens NEC PX700W, PX800X, NP4000/4001/4100/4100W",Electronics > Projectors & Displays > Projection Lenses,Electronics > Projectors & Displays > Projection Lenses,Electronics > Projectors & Displays > Projection Lenses,Stage2,Electronics,Projectors & Displays,Projection Lenses,0.498,2,Good (0.45-0.60)
130,"conferencing, mp, roboshot, vaddio, video",Logitech 960-001095 AV extender Black || NEC SP-ASCM soundbar speaker 100 W Black || StarTech.com Conference table box for AV connectivity,Electronics > Video Conferencing Equipment > Audio Visual Extenders,Electronics > Video Conferencing Equipment > Audio Visual Extenders,Electronics > Video Conferencing Equipment > Audio Visual Extenders,Stage2,Electronics,Video Conferencing Equipment,Audio Visual Extenders,0.5132,2,Good (0.45-0.60)
131,"ata, drive, gb, origin, storage",Origin Storage PA-12-US power adapter/inverter Indoor 65 W Black || Origin Storage NAS N5200 Power Supply power supply unit || Origin Storage 1m C14M-C15F power cable C14 coupler C15 coupler,Electronics > Storage Devices > External Hard Drives,Electronics > Storage Devices > Hard Drives,Electronics > Storage Devices > Hard Drives,Stage2,Electronics,Storage Devices,Hard Drives,0.3494,2,Acceptable (0.30-0.45)
132,"epson, extension, service, support, warranty","Epson RS-232 Cable || Netgear RPS4000v2 network switch component || Epson Type B interface plug-in card RS-232D, RS422A/20mA",Electronics > Printer Accessories > Service & Support,Electronics > Printer Accessories > Epson Service & Support,Electronics > Printer Accessories > Service & Support,Stage2,Electronics,Printer Accessories,Service & Support,0.5766,2,Good (0.45-0.60)
133,"gh98, mobile, phone, samsung, spare",Samsung JC96-05874D Belt Multifunctional || Samsung GH97-13560A mobile phone spare part || Samsung GH97-15202E mobile phone spare part,Electronics > Mobile Phones & Accessories > Spare Parts,Electronics > Spare Parts > Mobile Phone Spare Parts,Electronics > Spare Parts > Mobile Phone Spare Parts,Stage2,Electronics,Spare Parts,Mobile Phone Spare Parts,0.6057,2,Excellent (≥0.60)
134,"black, calculator, el, pocket, sharp","Sharp EL-243S calculator Pocket Basic Silver || Sharp EL-339HB calculator Pocket || Sharp EL-531XGVL calculator Pocket Scientific Black,Violet",Office Supplies > Calculators > Pocket Calculators,Office Supplies > Calculators > Pocket Calculators,Office Supplies > Calculators > Pocket Calculators,Stage2,Office Supplies,Calculators,Pocket Calculators,0.5871,2,Good (0.45-0.60)
135,"black, docking, philips, portable, speaker",JVC KS-U60 HDMI cable HDMI Type A (Standard) Black || Urban Factory ADA01UF-V2 handheld device accessory Black || Philips Dock for iPod/iPhone DCK3061/00,Electronics > Audio Devices > Speakers,Electronics > Speakers > Portable Speaker,Electronics > Audio Devices > Speakers,Stage1_kept,Electronics,Audio Devices,Speakers,0.3008,2,Acceptable (0.30-0.45)
136,"black, ethernet, lan, nas, qnap",QNAP CAB-TBT305M-40G-LINTES 2 m Black 40 Gbit/s || QNAP CAB-TBT305M-40G-LINTES 0.5 m Black 40 Gbit/s || Netgear Stora MS2110 Black,Electronics > Networking Equipment > Network Adapters,Electronics > Networking Equipment > Ethernet Adapters,Electronics > Networking Equipment > Ethernet Adapters,Stage2,Electronics,Networking Equipment,Ethernet Adapters,0.3169,2,Acceptable (0.30-0.45)
137,"black, charger, device, indoor, mobile",Acer n30 Car Charger - Retail Pack || 2-Power PLA5855P battery charger AC || 2-Power PLA8077A battery charger AC,Electronics > Power Accessories > Charging Adapters,Electronics > Charging Adapters > Chargers,Electronics > Power Accessories > Charging Adapters,Stage1_kept,Electronics,Power Accessories,Charging Adapters,0.4961,2,Good (0.45-0.60)
138,"ansi, data, dlp, lumens, projector",2-Power 15.6 WXGA HD 1366x768 LED Glossy Screen - replaces LTN156AT11 || 2-Power 15.6 WXGA HD 1366x768 LED Glossy Screen - replaces P000522330 || 2-Power 15.6 WXGA HD 1366x768 LED Matte Screen - replaces 27R2468,Electronics > Projectors & Displays > Projector Panels,Electronics > Projectors & Displays > Projection Screens,Electronics > Projectors & Displays > Projection Screens,Stage2,Electronics,Projectors & Displays,Projection Screens,0.3348,2,Acceptable (0.30-0.45)
139,"1200, a4, canon, dpi, inkjet",Canon PIXMA MX360 Inkjet 8.4 ppm 4800 x 1200 DPI A4 || Canon PIXMA MG6650 Inkjet 15 ppm 4800 x 1200 DPI A4 Wi-Fi || Canon imageRUNNER ADVANCE C3520i Laser 20 ppm 1200 x 1200 DPI A4 Wi-Fi,Office Supplies > Printing Equipment > Inkjet Printers,Office Supplies > Inkjet Printers > Products,Office Supplies > Inkjet Printers > Products,Stage2,Office Supplies,Inkjet Printers,Products,0.4822,2,Good (0.45-0.60)
140,"camera, canon, housing, underwater, wp",Sony AG-R2 Transparent || Sony CBKSP01 Black || Sony GMD-616,Electronics > Cameras & Camcorders > Underwater Housing,Electronics > Cameras & Camcorders > Underwater Housing,Electronics > Cameras & Camcorders > Underwater Housing,Stage2,Electronics,Cameras & Camcorders,Underwater Housing,0.2853,2,Low (<0.30)
141,"battery, ion, li, lithium, power",2-Power PLA8066A battery charger || 2-Power UCC8013A battery charger || 2-Power PLA8020A battery charger,Electronics > Power Supplies & Accessories > Battery Chargers,Electronics > Battery Chargers > Battery Chargers,Electronics > Battery Chargers > Battery Chargers Products,Stage2,Electronics,Battery Chargers,Battery Chargers Products,0.4111,2,Acceptable (0.30-0.45)
142,"600, dpi, fi, fujitsu, scanner",Fujitsu Memory Card Micro SD 2GB MicroSD || Fujitsu 3296-600K Consumable kit Scanner || Fujitsu 3334-400K Consumable kit Scanner,Office Supplies > Scanners & Accessories > Scan Heads,Office Supplies > Scanners > Fujitsu Scanner,Office Supplies > Scanners > Scanner,Stage2,Office Supplies,Scanners,Scanner,0.6272,2,Excellent (≥0.60)
143,"27, data, gb, lto, tape","Freecom RDX SATA dock internal Black,Silver || Freecom SuperLoader DAT-320ES tape drive 160 GB || HP RDX1000 External Removable Disk Backup System tape drive",Storage Devices > Tape Backups > LTO Tapes,Electronics > Storage Devices > LTO Tapes,Electronics > Storage Devices > LTO Tapes,Stage2,Electronics,Storage Devices,LTO Tapes,0.4805,2,Good (0.45-0.60)
144,"12, cd, philips, player, sony",Sony Music Cable MMC-60 || Sony PS-LX310BT Direct drive audio turntable Black || Sony PSHX500 audio turntable Belt-drive audio turntable Black,Electronics > Audio Equipment > Turntables,Electronics > Audio Equipment > Turntables,Electronics > Audio Equipment > Turntables,Stage2,Electronics,Audio Equipment,Turntables,0.5537,2,Good (0.45-0.60)
145,"33, fax, kbit, laser, machine",HP LaserJet MFP Analog Fax Accessory 500 modem 33.6 Kbit/s || HP LaserJet MFP Analog Fax Accessory 500 modem || Lexmark MarkNet N8110 V.34 Fax Card print server Ethernet LAN,Electronics > Telecommunications Equipment > Fax Machines,Office Supplies > Printers & Scanners > Fax Machines,Office Supplies > Printers & Scanners > Fax Machines,Stage2,Office Supplies,Printers & Scanners,Fax Machines,0.5857,2,Good (0.45-0.60)
146,"fee, hp, software, support, year",HP MICR Font DIMM || HP V6 Remote Graphics Software Upgrade Multi-User License || HP Remote Graphics SW V4 CDROM Media,Software > Support & Maintenance > Licenses,Software > Support & Maintenance > Software Licenses,Software > Support & Maintenance > Software Licenses,Stage2,Software,Support & Maintenance,Software Licenses,0.4056,2,Acceptable (0.30-0.45)
147,"corel, coreldraw, graphics, painter, suite",Corel DRAW Home & Student Suite X7 || Corel CorelDRAW Home & Student Suite X8 || Corel Home & Student Suite 2019,Software > Graphics & Design Software > Illustration Software,Software > Graphics & Design Software > Illustration Software,Software > Graphics & Design Software > Illustration Software,Stage2,Software,Graphics & Design Software,Illustration Software,0.3499,2,Acceptable (0.30-0.45)
148,"case, ipod, mp3, mp4, player",ACT ANT Crimp splice protection || Philips ActionSleeve DLV65110/10 || Techly Kit 11 Tools Repair and Opening for iPhone5 I-PHONE-TOOL2,Electronics > Music Players > Audio Players,Electronics > Audio Players > iPod,Electronics > Audio Players > iPod,Stage2,Electronics,Audio Players,iPod,0.2329,2,Low (<0.30)
149,"cm, galaxy, gb, samsung, sim","SilverHT CLR23302 1.2 m Black || Kurio Tab 2 8 GB Blue || Kurio 7S 8 GB Black,Red",Electronics > Mobile Phones & Tablets > SIM Cards,Electronics > Mobile Phones & Tablets > SIM Cards,Electronics > Mobile Phones & Tablets > SIM Cards,Stage2,Electronics,Mobile Phones & Tablets,SIM Cards,0.2283,2,Low (<0.30)
150,"a4, paper, printing, white, xerox",Xerox Colotech photo paper A4 || Xerox 003R97463 photo paper Matte A4 || Xerox 003R90358 photo paper A4,Office Supplies > Printing Materials > Paper,Office Supplies > Printing Materials > A4 Paper,Office Supplies > Printing Materials > A4 Paper,Stage2,Office Supplies,Printing Materials,A4 Paper,0.551,2,Good (0.45-0.60)
151,"battery, external, lite, tripp, ups",Tripp Lite External 240V Tower Battery Pack for select UPS Systems (BP240V400) || Tripp Lite External 36V 2U Rack/Tower Battery Pack for select UPS Systems (BP36V15-2U) || Tripp Lite RBC96-3U UPS battery 72 V,Electronics > Power Management > Battery Packs,Electronics > Power Management > Battery Packs,Electronics > Power Management > Battery Packs,Stage2,Electronics,Power Management,Battery Packs,0.5668,2,Good (0.45-0.60)
152,"black, bluetooth, device, keyboard, mobile",Lenovo 41R4463 handheld device accessory Black || Lenovo 41R4468 handheld device accessory Black || Lenovo 41R4462 handheld device accessory Black,Electronics > Computer Accessories > Keyboards & Keypads,Electronics > Computer Accessories > Keyboards,Electronics > Computer Accessories > Keyboards & Keypads,Stage1_kept,Electronics,Computer Accessories,Keyboards & Keypads,0.4293,2,Acceptable (0.30-0.45)
153,"core, ghz, intel, mb, processor","DELL 450-AEBL power supply unit 1100 W 1U Black,Silver || Intel Core i7-2620M processor 2.7 GHz 4 MB L3 || HP Intel Xeon E3-1270V2 processor 3.5 GHz 8 MB L3",Electronics > Computer Components > Processors,Electronics > Computer Components > Processor,Electronics > Computer Components > Processor,Stage2,Electronics,Computer Components,Processor,0.4361,2,Acceptable (0.30-0.45)
154,"cm, multi, overlay, screen, touch","Sony ISP-90 stylus pen Silver || Sony TEP-TX5 digital media player 16 GB Wi-Fi Black || Hannspree Android Box 6.0 TV set-top box Cable,Ethernet (RJ-45),WLAN Full HD Black",Electronics > Displays & Monitors > Touch Screen Monitors,Electronics > Monitors > Touch Screen Monitors,Electronics > Displays & Monitors > Touch Screen Monitors,Stage1_kept,Electronics,Displays & Monitors,Touch Screen Monitors,0.2819,2,Low (<0.30)
155,"a4, herma, labels, mm, pcs","HERMA CD PostPack mailing box A5 for CD in Jewel Case 200 pcs. White || HERMA CD/DVD file, 180x151 mm incl. 5 pockets || HERMA CD PostPack mailing box A5 for CD in Jewel Case 3 pcs. White",Office Supplies > Binding & Packaging > Envelopes & Mailing Supplies,Office Supplies > Binding & Packaging > Envelopes & Mailing Supplies,Office Supplies > Binding & Packaging > Envelopes & Mailing Supplies,Stage2,Office Supplies,Binding & Packaging,Envelopes & Mailing Supplies,0.352,2,Acceptable (0.30-0.45)
156,"black, cm, hd, hospitality, tv",Samsung UBD-M9000/XU DVD/Blu-Ray player Black || LG AN-MR300 remote control TV Press buttons || LG STB-5500 TV set-top box IPTV Full HD Black,Electronics > Televisions & Audio > TVs,Electronics > TVs & Audio > Black HD TV,Electronics > TVs & Audio > Black HD TV,Stage2,Electronics,TVs & Audio,Black HD TV,0.6112,2,Excellent (≥0.60)
157,"c2g, cable, hd15, sub, vga","C2G HD15 VGA Adapter VGA (D-Sub) Grey || C2G M1 Male to VGA (HD15) Female Adapter M1-A VGA (D-Sub) Black || Acer 15"" for Hitachi SXGA+ coaxial cable",Electronics > Computer Accessories > Cables & Adapters,Electronics > Cables & Adapters > Adapters,Electronics > Cables & Adapters > Adapters,Stage2,Electronics,Cables & Adapters,Adapters,0.497,2,Good (0.45-0.60)
158,"black, fixed, navigator, tomtom, touchscreen",Fujitsu Navigon 5 Bluetooth Module || Fujitsu Navigon 5 TMC Module upgrade for POCKET LOOX || TomTom External Microphone,Electronics > Navigation Devices > GPS Nav Systems,Electronics > Navigation Devices > GPS Nav Systems,Electronics > Navigation Devices > GPS Nav Systems,Stage2,Electronics,Navigation Devices,GPS Nav Systems,0.2689,2,Low (<0.30)
159,"black, nwz, round, sony, zs",Sony BCG34HVE4 || Sony STR-DB2000 B || Sony MDR-ZX330BT,Electronics > Audio Equipment > Headphones,Electronics > Headphones > Sony,Electronics > Headphones > Sony,Stage2,Electronics,Headphones,Sony,0.5086,2,Good (0.45-0.60)
160,"black, create, hub, thunderbolt, usb","C2G 2m Thunderbolt 3 Cable (20Gbps) – Thunderbolt Cable – 4K support – Black || C2G 28842 Thunderbolt cable 1.82 m Black 20 Gbit/s || StarTech.com Thunderbolt 3 Cable - 20Gbps - 1m - White - Thunderbolt, USB, and DisplayPort Compatible",Electronics > Cables & Connectors > Thunderbolt Cables,Electronics > Cables & Connectors > Thunderbolt Cables,Electronics > Cables & Connectors > Thunderbolt Cables,Stage2,Electronics,Cables & Connectors,Thunderbolt Cables,0.576,2,Good (0.45-0.60)
161,"10, cable, lightning, nanocable, white",Nanocable 10.19.0402 internal power cable 0.3 m || Nanocable 10.19.0104 internal power cable 0.3 m || Nanocable 10.19.0102 internal power cable 0.3 m,Electronics > Cables & Connectors > Power Cables,Electronics > Cables & Connectors > Power Cables,Electronics > Cables & Connectors > Power Cables,Stage2,Electronics,Cables & Connectors,Power Cables,0.5311,2,Good (0.45-0.60)
162,"600, alaris, dpi, kodak, scanner",Kodak Alaris 146 2415 Consumable kit Scanner || Kodak Alaris Feed Module || Kodak Alaris Lower/Upper Flippable White Background,Office Supplies > Scanners & Optics > Scan Modules,Office Supplies > Scanners > Kodak Alaris Scan Modules,Office Supplies > Scanners > Kodak Alaris Scan Modules,Stage2,Office Supplies,Scanners,Kodak Alaris Scan Modules,0.7483,2,Excellent (≥0.60)
163,"accessory, apc, black, netshelter, rack","APC Rack PDU,Basic,ZeroU,5.7kW,120V power distribution unit (PDU) Black || APC Rack PDU, Metered, Zero U, 20A, 200/208V power distribution unit (PDU) Black || APC InRow",Electronics > Power Management > Rack PDU,Electronics > Power Management > Rack PDU Accessories,Electronics > Power Management > Rack PDU Accessories,Stage2,Electronics,Power Management,Rack PDU Accessories,0.6647,2,Excellent (≥0.60)
164,"black, cable, pin, rca, scart","JVC CN-180G audio cable 1 m 2 x RCA Black,Red,White || Nanocable 10.24.0505 audio cable 5 m RCA Black || Nanocable 10.24.0103 audio cable 3 m 3.5mm Black",Electronics > Cables & Connectors > Audio Cables,Electronics > Cables & Connectors > Audio Cables,Electronics > Cables & Connectors > Audio Cables,Stage2,Electronics,Cables & Connectors,Audio Cables,0.6236,2,Excellent (≥0.60)
165,"black, hp, keyboard, qwerty, usb",HP iPAQ Mini-USB Travel Kit Black || HP 537923-151 keyboard USB Greek Black || Lenovo 7ZB7A05228 keyboard USB Turkish Black,Electronics > Computer Accessories > Keyboards,Electronics > Computer Accessories > Keyboards,Electronics > Computer Accessories > Keyboards,Stage2,Electronics,Computer Accessories,Keyboards,0.4684,2,Good (0.45-0.60)
166,"black, case, epson, projector, soft","Da-Lite Carrying Case, Deluxe Insta-Theater 73"" & 80"" diagonal || Da-Lite 70"" Zippered Carrying Case || Da-Lite Theater Lite Case",Office Supplies > Cases & Covers > Projection Screen Cases,Office Supplies > Cases & Covers > Projection Screen Cases,Office Supplies > Cases & Covers > Projection Screen Cases,Stage2,Office Supplies,Cases & Covers,Projection Screen Cases,0.4836,2,Good (0.45-0.60)
167,"hp, service, support, svc, year","HP 488137-001 0.356 m || HP SVC Kit-Upgrade, Media Path || HP 611835-001",Software > Support & Services > Service Kits,Software > Support & Services > Service Kits,Software > Support & Services > Service Kits,Stage2,Software,Support & Services,Service Kits,0.3298,2,Acceptable (0.30-0.45)
168,"black, gb, intel, lenovo, sdram","Lenovo VXL Md WES7 || Lenovo ThinkCentre M910z 60.5 cm (23.8"") 1920 x 1080 pixels Touchscreen Intel Pentium G G4560 4 GB DDR4-SDRAM 500 GB HDD Black All-in-One PC || Lenovo IdeaCentre 300 58.4 cm (23"") 1920 x 1080 pixels Touchscreen 6th gen Intel® Core™ i3 i3-6100U 8 GB DDR4-SDRAM 1000 GB HDD Black All-in-One PC",Electronics > Computers > Desktop PCs,Electronics > Computers > Desktop PCs,Electronics > Computers > Desktop PCs,Stage2,Electronics,Computers,Desktop PCs,0.2994,2,Low (<0.30)
169,"adapter, dell, management, rack, remote",DELL 770-BCKW computer case part Rack Rail kit || DELL 7YYKH rack accessory Mounting bracket || DELL 770-11008 rack accessory,Electronics > Computer Hardware > Server Accessories,Electronics > Server Accessories > Adapter,Electronics > Computer Hardware > Server Accessories,Stage1_kept,Electronics,Computer Hardware,Server Accessories,0.3734,2,Acceptable (0.30-0.45)
